,Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert.Rate,Med.Age,UrbanPop,WorldShare,Latitude,Longitude
92,United Arab Emirates,9865845,0.0123,119873,118,83600,40000.0,1.4,33,0.86,0.0013,23.914869621000037,54.32685818400006
93,Hungary,9665192,-0.0025,-24328,107,90530,6000.0,1.5,43,0.72,0.0012,47.16708877000008,19.424531700000045
94,Tajikistan,9492342,0.0232,216627,68,139960,-20000.0,3.6,22,0.27,0.0012,39.00000000000006,71.00000000000006
95,Belarus,9449940,-0.0003,-3088,47,202910,8730.0,1.7,40,0.79,0.0012,53.542208696000046,28.050095379000027
96,Austria,8996022,0.0057,51296,109,82409,65000.0,1.5,43,0.57,0.0012,47.58581000500004,14.137076948000072
97,Papua New Guinea,8911530,0.0195,170915,20,452860,-800.0,3.6,22,0.13,0.0011,-6.475589906999971,145.253800898
98,Serbia,8744288,-0.004,-34864,100,87460,4000.0,1.5,42,0.56,0.0011,44.02936463900005,20.804550522000056
99,Israel,8627444,0.016,136158,400,21640,10000.0,3,30,0.93,0.0011,31.97771151200004,34.97921769200008
100,Switzerland,8641786,0.0074,63257,219,39516,52000.0,1.5,43,0.74,0.0011,46.79981744200006,8.245024096000066
101,Togo,8237580,0.0243,196358,152,54390,-2000.0,4.4,19,0.43,0.0011,8.539049810000051,0.9744440640000676
102,Sierra Leone,7942879,0.021,163768,111,72180,-4200.0,4.3,19,0.43,0.001,8.558037771000045,-11.792031778999956
103,Hong Kong,7484618,0.0082,60827,7140,1050,29308.0,1.3,45,N.A.,0.001,22.351958323000076,114.1193859870001
104,Laos,7253719,0.0148,106105,32,230800,-14704.0,2.7,24,0.36,0.0009,18.49549827900006,103.76805746500008
105,Paraguay,7114524,0.0125,87902,18,397300,-16556.0,2.4,26,0.62,0.0009,-23.21981209599994,-58.41066601899996
106,Bulgaria,6958627,-0.0074,-51674,64,108560,-4800.0,1.6,45,0.76,0.0009,42.75500839100005,25.23641224000005
107,Libya,6852010,0.0138,93840,4,1759540,-1999.0,2.3,29,0.78,0.0009,27.041821576000075,18.030819147000045
108,Lebanon,6831445,-0.0044,-30268,667,10230,-30012.0,2.1,30,0.78,0.0009,33.92144516600007,35.893427744000064
109,Nicaragua,6608366,0.0121,79052,55,120340,-21272.0,2.4,26,0.57,0.0008,12.934455771000046,-85.00621251399997
110,Kyrgyzstan,6501804,0.0169,108345,34,191800,-4000.0,3,26,0.36,0.0008,41.43197845000003,74.46759424400005
111,El Salvador,6479609,0.0051,32652,313,20720,-40539.0,2.1,28,0.73,0.0008,13.733468471000037,-88.86567455199997
112,Turkmenistan,6012850,0.015,89111,13,469930,-5000.0,2.8,27,0.53,0.0008,39.19335818400003,59.17525293600005
113,Singapore,5840996,0.0079,46005,8358,700,27028.0,1.2,42,N.A.,0.0008,1.2904100000000653,103.85211000000004
114,Denmark,5788108,0.0035,20326,137,42430,15200.0,1.8,42,0.88,0.0007,55.959300779000046,10.053934054000024
115,Finland,5539002,0.0015,8564,18,303890,14000.0,1.5,43,0.86,0.0007,64.52251280100006,26.158834376000073
116,Congo,5489191,0.0256,137579,16,341500,-4000.0,4.5,19,0.7,0.0007,-0.8217651579999483,15.23529437600007
117,Slovakia,5459116,0.0005,2629,114,48088,1485.0,1.5,41,0.54,0.0007,48.708702079000034,19.48774911000004
118,Norway,5412632,0.0079,42384,15,365268,28000.0,1.7,40,0.83,0.0007,62.00000000000006,10.000000000000057
119,Oman,5078933,0.0265,131640,16,309500,87400.0,2.9,31,0.87,0.0007,20.59793733300006,56.10497815300005
120,State of Palestine,5076280,0.0241,119994,847,6020,-10563.0,3.7,21,0.8,0.0007,31.91271978700007,35.204684057000065
